iter	Passed	Remaining
0	5	4185
1	13	5186
2	18	4547
3	23	4463
4	28	4247
5	32	4095
6	38	4069
7	42	3929
8	46	3825
9	50	3767
10	56	3825
11	60	3768
12	65	3716
13	69	3676
14	75	3718
15	80	3719
16	86	3734
17	90	3701
18	94	3659
19	99	3636
20	102	3590
21	106	3558
22	110	3523
23	114	3486
24	118	3462
25	122	3443
26	126	3418
27	130	3382
28	134	3366
29	138	3337
30	142	3317
31	146	3297
32	150	3278
33	154	3266
34	158	3253
35	162	3241
36	166	3226
37	170	3213
38	174	3199
39	178	3184
40	182	3166
41	186	3163
42	191	3171
43	195	3160
44	202	3197
45	207	3194
46	212	3197
47	221	3257
48	225	3250
49	230	3241
50	235	3243
51	239	3233
52	243	3225
53	249	3232
54	255	3245
55	263	3283
56	273	3347
57	278	3346
58	285	3357
59	289	3348
60	293	3337
61	298	3334
62	302	3321
63	307	3310
64	311	3298
65	314	3281
66	318	3267
67	322	3254
68	326	3241
69	330	3229
70	334	3221
71	338	3204
72	342	3191
73	345	3178
74	349	3165
75	353	3154
76	357	3142
77	361	3132
78	366	3127
79	370	3120
80	374	3112
81	378	3102
82	382	3092
83	386	3082
84	390	3072
85	395	3071
86	399	3065
87	403	3057
88	408	3050
89	412	3044
90	416	3037
91	421	3032
92	425	3026
93	430	3019
94	434	3012
95	438	3006
96	443	3000
97	447	2996
98	454	3005
99	459	3007
100	464	3002
101	468	2994
102	472	2985
103	477	2983
104	481	2975
105	485	2966
106	489	2960
107	493	2952
108	497	2944
109	501	2936
110	505	2930
111	510	2925
112	514	2920
113	518	2909
114	522	2901
115	526	2893
116	530	2886
117	534	2878
118	538	2871
119	542	2864
120	546	2857
121	550	2849
122	554	2842
123	558	2836
124	562	2831
125	566	2825
126	571	2823
127	575	2816
128	579	2808
129	583	2801
130	587	2794
131	591	2788
132	595	2781
133	599	2774
134	604	2773
135	609	2768
136	613	2762
137	617	2757
138	622	2753
139	626	2748
140	631	2743
141	635	2738
142	639	2733
143	644	2728
144	648	2725
145	653	2720
146	657	2715
147	662	2710
148	666	2707
149	672	2708
150	677	2707
151	685	2713
152	689	2708
153	693	2701
154	698	2698
155	702	2691
156	706	2685
157	710	2679
158	714	2672
159	718	2667
160	722	2660
161	726	2653
162	730	2647
163	733	2640
164	737	2634
165	741	2627
166	745	2621
167	750	2616
168	754	2611
169	758	2606
170	762	2600
171	767	2596
172	773	2596
173	777	2592
174	782	2588
175	786	2584
176	791	2579
177	796	2577
178	801	2574
179	805	2570
180	809	2563
181	814	2558
182	819	2556
183	823	2552
184	828	2547
185	832	2543
186	837	2537
187	841	2533
188	845	2528
189	850	2523
190	854	2518
191	858	2513
192	863	2511
193	869	2508
194	873	2503
195	877	2499
196	881	2492
197	885	2486
198	889	2481
199	894	2476
200	898	2470
201	901	2464
202	905	2458
203	909	2452
204	913	2447
205	917	2441
206	921	2435
207	925	2429
208	929	2424
209	933	2418
210	937	2412
211	941	2406
212	946	2403
213	950	2399
214	955	2395
215	960	2391
216	965	2389
217	969	2384
218	974	2380
219	978	2374
220	982	2368
221	986	2363
222	990	2358
223	994	2352
224	998	2346
225	1002	2341
226	1005	2335
227	1009	2329
228	1013	2324
229	1017	2318
230	1021	2312
231	1026	2309
232	1030	2304
233	1034	2299
234	1039	2295
235	1043	2290
236	1047	2285
237	1052	2280
238	1056	2276
239	1060	2271
240	1064	2266
241	1069	2262
242	1073	2257
243	1078	2254
244	1082	2249
245	1086	2244
246	1090	2238
247	1094	2233
248	1098	2228
249	1102	2222
250	1106	2217
251	1110	2211
252	1114	2206
253	1118	2200
254	1122	2195
255	1125	2190
256	1129	2184
257	1133	2179
258	1138	2175
259	1142	2171
260	1146	2165
261	1150	2160
262	1154	2155
263	1158	2149
264	1162	2144
265	1166	2139
266	1170	2134
267	1174	2129
268	1178	2124
269	1182	2118
270	1185	2113
271	1189	2108
272	1193	2103
273	1197	2097
274	1201	2092
275	1205	2087
276	1209	2082
277	1213	2077
278	1217	2072
279	1221	2066
280	1224	2061
281	1228	2056
282	1233	2052
283	1237	2047
284	1241	2043
285	1245	2038
286	1250	2034
287	1254	2030
288	1259	2026
289	1263	2022
290	1268	2017
291	1272	2013
292	1276	2009
293	1281	2004
294	1285	2000
295	1290	1997
296	1294	1992
297	1298	1987
298	1302	1982
299	1306	1977
300	1310	1972
301	1314	1967
302	1318	1962
303	1322	1957
304	1326	1952
305	1330	1947
306	1334	1942
307	1338	1937
308	1341	1932
309	1345	1927
310	1349	1922
311	1353	1917
312	1357	1913
313	1361	1908
314	1365	1903
315	1369	1898
316	1373	1893
317	1377	1888
318	1381	1883
319	1384	1878
320	1388	1873
321	1392	1868
322	1397	1864
323	1402	1860
324	1406	1856
325	1410	1852
326	1415	1847
327	1419	1843
328	1423	1838
329	1427	1834
330	1432	1830
331	1436	1826
332	1441	1822
333	1445	1817
334	1450	1813
335	1454	1809
336	1458	1805
337	1463	1801
338	1467	1797
339	1472	1792
340	1476	1787
341	1479	1782
342	1484	1778
343	1488	1773
344	1492	1769
345	1496	1764
346	1501	1760
347	1505	1755
348	1509	1751
349	1512	1746
350	1516	1741
351	1520	1736
352	1524	1731
353	1528	1727
354	1532	1722
355	1536	1718
356	1542	1715
357	1546	1710
358	1550	1706
359	1554	1701
360	1558	1696
361	1562	1692
362	1566	1687
363	1570	1682
364	1574	1677
365	1578	1673
366	1582	1668
367	1586	1663
368	1589	1658
369	1593	1654
370	1597	1649
371	1601	1644
372	1605	1640
373	1609	1635
374	1613	1630
375	1617	1626
376	1622	1622
377	1626	1618
378	1631	1613
379	1635	1609
380	1639	1605
381	1644	1601
382	1648	1596
383	1652	1592
