Month,C++,C#,TypeScript,PHP,Swift,Ruby,Go,SQL,Kotlin,Scala,Shell,C,HTML,Objective-C,Perl,Matlab,R,Python,Java,Javascript
2008-09-01,755,1639,0,474,0,286,0,503,0,6,65,320,328,50,130,11,6,537,634,1129
2008-11-01,734,1729,0,499,0,157,0,413,0,5,51,258,327,106,97,11,1,448,580,954
2008-12-01,630,1594,0,476,0,159,0,424,0,3,51,188,309,123,133,13,1,437,625,825
2009-01-01,848,2374,0,628,1,205,0,585,0,12,47,318,414,143,146,19,8,631,790,1147
2009-02-01,841,2597,0,757,1,286,0,668,0,12,75,331,480,209,163,27,8,630,945,1202
2009-03-01,1046,3155,0,895,1,329,0,658,0,17,85,430,524,291,137,23,4,764,1007,1429
2009-04-01,1016,3303,0,957,0,358,0,750,0,27,72,455,524,357,161,32,12,770,1047,1529
2009-05-01,1214,3549,0,1170,2,401,0,844,0,12,85,481,675,500,196,42,2,995,1429,1813
2009-06-01,1250,3880,1,1571,0,431,0,925,0,63,76,498,760,490,246,43,5,1042,1552,2110
2009-07-01,1465,4402,0,2014,0,499,0,1085,0,59,106,538,982,678,256,39,50,1157,1752,2253
2009-08-01,1398,4445,0,2173,3,484,0,1033,0,72,96,530,1000,698,248,34,47,1131,1856,2185
2009-09-01,1460,4346,0,2250,3,477,0,1353,0,63,122,572,936,693,249,51,138,1169,1756,2258
2009-10-01,1683,4722,0,2346,1,492,0,1479,0,100,134,775,1000,748,282,70,73,1417,2046,2498
2009-11-01,1745,4676,0,2672,3,654,65,1217,0,95,136,956,1126,758,322,116,94,1552,2234,2759
2009-12-01,1651,4482,0,2808,1,572,11,1189,0,84,101,848,1153,782,261,101,80,1585,2305,2684
2010-01-01,1994,5111,0,3418,0,684,15,1255,0,105,117,977,1440,991,301,92,94,1946,2626,3722
2010-02-01,2275,5094,0,3153,2,688,7,1288,0,115,123,1033,1335,1008,347,111,122,1861,2638,3576
2010-03-01,2431,6025,0,3730,1,693,8,1463,0,116,168,1113,1508,1129,390,122,139,2072,2988,4438
2010-04-01,2487,5773,0,3629,2,752,10,1322,0,163,141,1181,1558,1155,364,184,160,1806,3012,3877
2010-05-01,2414,5924,0,3967,1,775,17,1450,0,167,139,1177,1613,1306,286,206,139,2008,3232,4166
2010-06-01,2823,6139,0,4069,3,850,15,1624,0,173,200,1153,1808,1433,409,146,176,2202,3478,4276
2010-07-01,2675,6675,0,4578,1,910,8,1827,0,185,185,1284,2157,1931,435,151,233,2583,3878,4506
2010-08-01,2627,6956,0,5108,2,994,13,1913,0,170,204,1363,2222,1870,546,140,283,2491,3999,4698
2010-09-01,2726,6408,0,4677,2,935,9,1742,0,225,228,1371,2096,1652,460,163,236,2248,4001,4705
2010-10-01,2929,6727,0,4490,1,925,13,1849,2,219,211,1438,2071,1736,498,161,214,2670,4106,5016
2010-11-01,3365,7308,0,5088,1,927,16,1972,1,211,206,1674,2398,1829,464,156,241,2603,4542,5588
2010-12-01,3128,7096,0,5368,2,1021,18,1896,1,225,201,1466,2581,1830,501,179,223,2472,4955,5667
2011-01-01,3482,7976,0,6393,4,1201,15,2342,0,250,254,1458,3044,2176,477,177,249,2896,5416,6528
2011-02-01,3434,8205,0,6678,5,1247,16,2119,0,273,234,1633,2987,2428,481,287,322,3007,5590,6853
2011-03-01,4166,9966,0,8054,3,1636,3,2648,1,298,313,2108,3916,3040,604,429,422,3741,6756,8449
2011-04-01,4159,9253,0,7601,3,1475,7,2289,2,270,301,2032,3591,3218,550,380,474,3330,6871,7880
2011-05-01,3863,9964,0,8050,1,1563,36,2693,1,325,269,1820,3853,3487,581,302,425,3510,7288,8525
2011-06-01,3797,9715,0,7988,4,1554,34,2651,2,331,259,1761,3990,3335,567,309,442,3460,7655,7860
2011-07-01,3845,9557,0,8604,12,1577,26,2652,0,424,270,1655,4311,3677,658,282,453,3649,8076,8122
2011-08-01,3943,10000,0,8839,8,1847,40,2665,2,434,311,1823,4489,3822,611,255,586,3814,8862,8630
2011-09-01,3923,9238,1,7987,6,1541,26,2578,0,418,291,1915,4190,3266,500,265,612,3507,8136,8280
2011-10-01,4334,9154,0,7974,6,1601,40,2582,2,465,340,2138,4173,3247,555,397,619,3600,7972,8499
2011-11-01,4450,9837,0,8604,4,1732,65,2821,1,453,335,2193,4478,3541,604,429,605,3854,8606,9564
2011-12-01,4331,9248,0,8261,2,1668,52,2581,2,373,363,2001,4345,3293,538,386,613,3603,8272,9118
2012-01-01,4518,10321,0,9184,6,1885,37,2793,0,358,396,2217,5056,3737,561,452,690,4179,9533,10053
2012-02-01,5075,10675,0,9798,9,2029,31,3136,3,386,449,2393,5381,3824,613,553,811,4471,9898,10868
2012-03-01,5190,11483,0,10762,4,2173,47,3586,2,458,448,2706,5652,3807,607,570,888,5006,10613,12269
2012-04-01,5269,11023,0,10283,5,1955,69,3306,2,404,397,2658,5607,3873,598,614,838,4893,10587,11923
2012-05-01,4963,11485,0,10825,6,1962,69,3491,2,420,458,2473,6158,3842,642,537,873,5067,11450,12099
2012-06-01,4631,11288,0,10502,4,1885,72,3295,0,445,449,2304,6006,3785,739,513,973,5259,11195,11069
2012-07-01,5261,12294,0,11678,9,2058,76,3718,2,487,565,2366,6877,4300,666,554,1117,5718,12299,12224
2012-08-01,5158,11932,0,11844,5,2057,72,3689,0,461,504,2313,6895,4207,761,596,1088,5855,12421,12232
2012-09-01,4901,11256,0,10933,7,1953,129,3615,1,533,459,2527,6387,3387,662,550,1057,5247,11154,11600
2012-10-01,5898,12703,277,11707,4,2255,101,4104,3,535,593,3150,6792,4110,682,752,1267,6123,12398,13458
2012-11-01,6262,12222,143,11701,4,2127,104,4301,2,551,579,3184,6863,3844,636,838,1345,6388,12318,13578
2012-12-01,5679,10943,81,10983,4,1902,112,3872,2,478,549,2560,6859,3715,551,672,1213,5741,11729,12399
2013-01-01,6030,12742,96,12801,5,2303,101,4643,1,573,629,2901,7870,4063,660,722,1506,6560,13759,13677
2013-02-01,6049,12471,70,12463,6,2209,117,4544,4,589,655,3085,7593,3888,745,806,1656,6723,13605,13657
2013-03-01,7169,14219,115,14018,5,2557,126,5205,1,667,658,3427,8884,4401,850,988,1846,7600,15251,15867
2013-04-01,7102,13860,94,13312,6,2457,125,5024,3,687,688,3521,8889,4051,837,1044,1834,7910,15275,16173
2013-05-01,6811,13428,76,12990,2,2337,142,4962,2,658,677,3186,8634,3808,901,1010,1777,7789,15010,15222
2013-06-01,6177,12750,94,12622,4,2219,175,4719,2,689,656,2928,8515,3359,828,893,1773,7579,14563,13874
2013-07-01,6572,14131,107,14225,7,2435,200,5384,2,698,673,3003,9788,3744,952,985,1963,8594,16760,15134
2013-08-01,6238,13814,107,14210,4,2477,207,5347,1,691,719,3002,9841,3544,833,913,1915,7933,16796,15010
2013-09-01,6534,13726,86,14161,9,2386,237,5882,0,774,751,3384,10252,3938,684,889,1709,7947,17646,16210
2013-10-01,7952,15154,82,15235,10,2787,211,6787,3,841,843,4230,11094,4452,814,1103,2086,9462,19660,18658
2013-11-01,8101,14542,90,14781,5,2572,209,6524,1,847,866,4276,10496,4014,821,1196,2185,9464,18423,18686
2013-12-01,6987,13587,122,14336,11,2441,240,6191,5,816,822,3494,10438,3980,764,1051,1905,8432,17958,17399
